PROD_SKU	BRAND_NAME	VEND_STREET	PROD_DESCRIPT	PROD_TYPE	VEND_NAME	PROD_CATEGORY	VEND_STATE	BRAND_TYPE	VEND_CITY	PROD_PRICE	BRAND_ID	VEND_ID	PROD_QOH	VEND_ZIP	PROD_MIN	PROD_BASE			
1010-MIW	OLDE TYME QUALITY	1185 BIGLERVILLE CIRCLE	"Dry Fall, Latex, Semi-Gloss (MPI Gloss Level 5)"	Interior	National Wholesale Consolidated	Top Coat	VT	CONTRACTOR	Sweek Hollow	21.99	28	5	110	5483	15	Water			
1021-MTI	LE MODE	355 WILDWOOD DRIVE	"Elastomeric, Exterior, Industrial Grade, Water Based"	Exterior	International Decor Partners	Top Coat	FL	PREMIUM	South Miami	62.99	35	12	22	33143	25	Water			
1045-DUY	LE MODE	1185 BIGLERVILLE CIRCLE	"Traffic Marking Paint, Alkyd"	Exterior	National Wholesale Consolidated	Top Coat	VT	PREMIUM	Sweek Hollow	6.59	35	5	10	5483	40	Solvent			
1067-KBB	LONG HAUL	1492 AUSTIN AVENUE	"Primer, Galvanized Metal, Cementitious"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	14.89	30	21	21	22625	10	Solvent			
1074-VVJ	STUTTENFURST	1874 LAWLOR CIRCLE	"Light Industrial Coating, Exterior, Water Based ('eggshell-like' - MPI Gloss Level 3) "	Exterior	S Plymouth Solubles Workshop	Top Coat	NY	CONTRACTOR	S Plymouth	23.29	25	19	43	13844	25	Water			
1078-QXL	FORESTERS BEST	1286 RICHARD EVELYN BYRD STREET	"Varnish, Interior, Semi-Gloss "	Interior	Kenny Paints Workshop	Top Coat	MI	VALUE	Grand Ledge	14.59	23	7	94	48837	40	Solvent			
1099-WFZ	LE MODE	1353 STEPHEN CIRCLE	"Primer, Epoxy, Anti-Corrosive, for Metal"	Interior	Linden Consolidated	Primer	MI	PREMIUM	Linden	14.99	35	17	57	48451	40	Solvent			
1143-RGX	HOME COMFORT	377 LONGHORN STREET	Shellac	Interior	Warren Paints Consolidated	Primer	VT	CONTRACTOR	Beebe Plain	11.99	27	2	116	5823	15	Solvent			
1150-MMR	LE MODE	1777 EASTWIND COURT	"Primer, Alkyd, Quick Dry, for Metal"	Interior	Pine Hill Chemical Warehouse	Primer	PA	PREMIUM	Pine Hill	11.99	35	6	Æ44	17901	10	Solvent			
1153-AWY	OLDE TYME QUALITY	1286 RICHARD EVELYN BYRD STREET	"Polyurethane, Moisture Cured, Pigmented, Intermediate Coat"	Interior	Kenny Paints Workshop	Top Coat	MI	CONTRACTOR	Grand Ledge	14.99	28	7	116	48837	20	Solvent			
1198-STR	OLDE TYME QUALITY	382 FLORENCE CIRCLE	"Latex, Exterior, Gloss (MPI Gloss Level 6)"	Exterior	Donahue Solubles of West Virginia	Top Coat	WV	CONTRACTOR	Huntington	23.59	28	9	45	25700	15	Water			
1200-KBU	STUTTENFURST	1839 DEMEURE PLACE	"Stain, Semi-Transparent, for Interior Wood"	Interior	Lambert Decor of New Hampshire	Top Coat	NH	CONTRACTOR	Brookfield	20.99	25	10	91	3872	20	Solvent			
1203-AIS	LE MODE	222 SEWARD 34TH RAMP	"Fire Retardant Coating, Latex, Interior, Flat (ULC Approved)"	Interior	Baltimore Paints Consolidated	Top Coat	MD	PREMIUM	Baltimore	35.99	35	8	49	21222	25	Water			
1336-FVM§	BINDER PRIME	527 ELDERBERRY STREET	"Alkyd, Sanding Sealer, Clear"	Interior	Irvington Wholesale Workshop	Sealer	KY	PREMIUM	Irvington	23.29	33	20	54	40146	25	Solvent			
1403-TUY	BUSTERS	527 ELDERBERRY STREET	"Sealer, Water Based, for Concrete Floors"	Interior	Irvington Wholesale Workshop	Sealer	KY	VALUE	Irvington	42.99	29	20	56	40146	5	Water			
1433-MMY	HOME COMFORT	1492 AUSTIN AVENUE	"Heat Resistant Coating, (Up to 205°C/402°F), MPI Gloss Level 5-6 "	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	23.99	27	21	129	22625	10	Solvent			
1485-NNI	LONG HAUL	200 AERO AVENUE	"Primer Sealer, for Multicolor Systems"	Interior	Boykin Chemical Workshop	Primer	VA	CONTRACTOR	Arlington	18.99	30	13	76	22218	10	Water			
1504-LVK	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Floor Paint, Latex, Low Gloss "	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	21.99	33	22	63	48324	25	Water			
1580-VCE	BUSTERS	1353 STEPHEN CIRCLE	"Latex, Interior, High Performance Architectural, ('eggshell-like' - MPI Gloss Level 3)"	Interior	Linden Consolidated	Top Coat	MI	VALUE	Linden	34.49	29	17	124	48451	5	Water			
1663-CDD	STUTTENFURST	1185 BIGLERVILLE CIRCLE	"Light Industrial Coating, Exterior, Water Based, Semi-Gloss (MPI Gloss Level 5)"	Exterior	National Wholesale Consolidated	Top Coat	VT	CONTRACTOR	Sweek Hollow	23.29	25	5	125	5483	40	Water			
1747-XNI	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Paste, Wood Filler"	Exterior	Rivera Decor Partners	Filler	MI	PREMIUM	Orchard Lake	3.99	33	22	85	48324	30	Solvent			
1838-LZI	STUTTENFURST	1492 AUSTIN AVENUE	"Latex, Exterior, High Build"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	12.59	25	21	24	22625	10	Water			
1854-AFJ	LONG HAUL	454 WINDJAMMER CIRCLE	Epoxy Deck Coating (Slip-Resistant)	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	22.59	30	15	98	44866	40	Solvent			
1871-GWZ	OLDE TYME QUALITY	1951 WEST 28TH COURT	"Latex, Exterior, Low Sheen (MPI Gloss Level 3-4)"	Exterior	Super Solubles of Pennsylvania	Top Coat	PA	CONTRACTOR	Laporte	24.99	28	11	52	18626	25	Water			
1964-OUT	LONG HAUL	527 ELDERBERRY STREET	"Fire Resistant Top Coat, for Interior Wood"	Interior	Irvington Wholesale Workshop	Top Coat	KY	CONTRACTOR	Irvington	78.49	30	20	120	40146	10	Solvent			
2006-ZBH	LE MODE	1839 DEMEURE PLACE	"Latex, Exterior Flat (MPI Gloss Level 1)"	Exterior	Lambert Decor of New Hampshire	Top Coat	NH	PREMIUM	Brookfield	10.99	35	10	100	3872	10	Water			
2046-RUS	OLDE TYME QUALITY	1839 DEMEURE PLACE	Polyurethane Deck Coating (Slip-Resistant)	Exterior	Lambert Decor of New Hampshire	Top Coat	NH	CONTRACTOR	Brookfield	25.99	28	10	137	3872	35	Solvent			
2068-TSC	LONG HAUL	454 WINDJAMMER CIRCLE	Graffiti Protection Top-Coat	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	16.99	30	15	145	44866	10	Solvent			
2101-WCF	LONG HAUL		"Dry Fall, Latex, ('eggshell-like' - MPI Gloss Level 3)"	Interior		Top Coat	OH	CONTRACTOR	Rowsburg	13.99	30	15	60	44866	10	Water			
2116-PVN	STUTTENFURST	1185 BIGLERVILLE CIRCLE	"Latex, Interior, Semi-Gloss (MPI Gloss Level 5) "	Interior	National Wholesale Consolidated	Top Coat	VT	CONTRACTOR	Sweek Hollow	12.99	25	5	66	5483	20	Water			
